Operand,Value,Delta
Scramble,413.5,-57.5
Inversion,365.5,-9.5
Inversion,379.25,-27.0
Scramble,385.25,-33.0
Scramble,384.0,-34.25
Inversion,389.5,-39.75
Inversion,384.0,-34.25
Inversion,349.75,0.0
Inversion,390.5,-40.75
Inversion,381.0,-31.25
Swap,388.5,-38.75
Inversion,349.75,0.0
Swap,366.5,-16.75
Swap,366.5,-16.75
Inversion,365.75,-16.0
Swap,383.5,-33.75
Inversion,388.5,-38.75
Scramble,386.25,-36.5
Scramble,386.25,-36.5
Scramble,348.75,-10.0
Swap,349.75,-11.0
Inversion,388.25,-49.5
Swap,410.0,-71.25
Swap,417.25,-78.5
Inversion,413.0,-74.25
Swap,411.75,-73.0
Scramble,369.75,-31.0
Scramble,419.5,-80.75
Swap,369.75,-31.0
Inversion,338.75,0.0
Inversion,369.75,-31.0
Inversion,338.75,0.0
Scramble,338.75,0.0
Inversion,341.25,-2.5
Inversion,338.75,0.0
Scramble,383.25,-44.5
Swap,412.5,-73.75
Scramble,369.75,-31.0
Scramble,374.5,-35.75
Scramble,418.0,-79.25
Scramble,388.0,-49.25
Scramble,378.5,-39.75
Scramble,388.5,-49.75
Swap,410.25,-71.5
Scramble,380.75,-42.0
Scramble,386.0,-47.25
Scramble,359.25,-20.5
Swap,373.75,-35.0
Inversion,407.25,-68.5
Scramble,375.5,-36.75
Inversion,364.0,-25.25
Inversion,407.25,-68.5
Inversion,407.25,-68.5
Swap,407.25,-68.5
Swap,398.75,-60.0
Inversion,407.25,-68.5
Inversion,380.75,-42.0
Swap,380.75,-42.0
Inversion,380.75,-42.0
